0,1,2,3,4,5,6,7,8,9,10
0.00725,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0033106646058732,0.0131375579598145,12.563106796116504,258.0,108.0,103.0,17.0,0.0,1.0,1.0,0.0
0.1149047619047619,0.238095238095238,63.0,435.0,3.0,1.0,15.0,1.0,0.0,1.0,0.0
0.0035294117647058,0.2352941176470588,17.0,4.0,17.0,1.0,4.0,1.0,0.0,1.0,0.0
0.0109593495934959,0.1869918699186991,123.0,81.0,39.0,1.0,23.0,0.0,1.0,1.0,0.0
0.0918270762229806,0.0318543799772468,879.0,4843.0,3.0,1.0,28.0,1.0,0.0,1.0,0.0
5.676552363299351e-06,0.0145968489341983,8.67537688442211,3.0,3482.0,995.0,126.0,0.0,1.0,1.0,0.0
0.0012105100781571,0.0187165775401069,11.35981308411215,354.0,586.0,428.0,91.0,0.0,1.0,1.0,0.0
0.0099356243412658,0.0070449880734453,36.27162977867203,10747.0,565.0,497.0,127.0,0.0,1.0,1.0,0.0
21.208,0.5945945945945946,37.0,47082.0,2.0,1.0,22.0,0.0,1.0,1.0,0.0
0.0013658340048348,0.0265914585012087,1241.0,102.0,64.0,1.0,33.0,0.0,1.0,1.0,0.0
0.000151045370502,0.0026312046650547,18.749333333333333,128.0,1035.0,750.0,37.0,0.0,1.0,1.0,0.0
0.0011710414902624,0.0118543607112616,9.760330578512397,83.0,130.0,121.0,14.0,0.0,1.0,0.0,1.0
0.0996666666666666,1.0,3.0,18.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0
3.4990290697674418,0.313953488372093,172.0,36110.0,2.0,1.0,54.0,0.0,1.0,1.0,0.0
0.0023061844017439,0.0058130146940093,26.856027753686035,4285.0,1287.0,1153.0,180.0,0.0,1.0,1.0,0.0
0.0001559416261292,0.013759555246699,39.31693989071038,68.0,313.0,183.0,99.0,0.0,1.0,1.0,0.0
0.2348611111111111,0.1666666666666666,18.0,254.0,10.0,1.0,3.0,0.0,1.0,1.0,0.0
0.0010549088068209,0.0024691119877315,30.06117715279792,6563.0,3968.0,3449.0,256.0,0.0,1.0,1.0,0.0
0.003625,0.25,4.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0
7.661290322580645e-05,0.0080645161290322,2.016260162601626,2.0,123.0,123.0,2.0,0.0,1.0,0.0,1.0
0.0008931685283098,0.0026611576035575,30.31740976645436,6122.0,4615.0,3768.0,304.0,0.0,1.0,1.0,0.0
0.037625,0.5833333333333334,12.0,28.0,2.0,1.0,7.0,0.0,1.0,1.0,0.0
0.005,0.6,5.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,0.0
0.01075,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0
