inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,failed_auth_count,token_reuse_ratio,status_4xx_ratio,status_5xx_ratio,attack_class,is_malicious
0.14663376441756606,0.10235428327095275,147,1.509336686408016,default,8,7,26,F,5,0.33550424510341026,0.12224802961537364,0.2609353620138829,flood,1
4.198460085007201,0.6764102734421358,56,17.490241346947485,datacenter,6,10,14,E,0,0.18966294443217113,0.10456417021368346,0.09823761114835093,normal,0
0.17746987075740533,0.24892251399350826,186,18.51397854317092,datacenter,4,6,24,E,1,0.12692446791869824,0.1916631066473155,0.10310946456129581,flood,1
0.5470717124281965,0.5127930304998429,110,19.377536922771295,default,3,5,23,F,11,0.3815827686743261,0.49405097657410585,0.025868463398457796,bruteforce,1
0.7590145708294889,0.4459810903248406,51,6.386897952774039,datacenter,6,6,16,E,0,0.3668465201240216,0.26248965483498965,0.07898517430399218,normal,0
0.9129615409549657,0.5890754295721297,9,22.26768922217504,default,16,1,17,F,3,1.0,0.25980122388759014,0.09379747293362793,token_abuse,1
0.16990521653901938,0.26452940022673177,163,19.762926210964594,default,4,9,12,E,0,0.18924696923276757,0.0,0.0,flood,1
0.09218998860446229,0.2070140072446083,98,19.80959957421132,default,1,8,13,E,0,0.006028496778572978,0.14238927070680577,0.11413227415285992,flood,1
1.518559796229637,0.5713466354823453,54,23.452422044284567,datacenter,1,5,14,E,0,0.369025864514685,0.0600880504521738,0.0,normal,0
2.75082604848467,0.108382458917335,33,24.13585516011376,datacenter,5,6,7,E,0,0.1775903888532101,0.10262843487507436,0.08759772556402647,normal,0
2.039101369077854,0.6014847636100762,18,17.38116764872605,default,1,8,11,E,2,0.20650654610181182,0.10867084532093177,0.000699837787042034,normal,0
0.4201673612417506,0.23961443560403536,49,29.011925333791986,default,3,4,15,E,1,0.7316103710394349,0.30480601099965066,0.0,token_abuse,1
0.5065220033448603,0.02,153,9.057279958464443,default,1,3,1,F,7,0.2621329605196097,0.450634711946552,0.06109420250951452,bruteforce,1
0.09047671085007229,0.4735174333725634,160,28.17021806418191,datacenter,2,8,11,F,0,0.18801284112768957,0.29423138461962334,0.26355115377310667,flood,1
3.2498901169064376,0.39527698905907516,33,19.458719782825995,default,5,10,2,F,0,0.016761242072844185,0.11690441368286905,0.07006836880059356,normal,0
3.9072162000672552,0.7071994729356568,43,16.58220853799603,default,6,1,17,E,2,0.2139882483860557,0.12719821309856688,0.0879085193309628,normal,0
0.1224412905793863,0.3470802321431703,124,1.0,default,2,3,3,E,12,0.5345146161182038,0.3308802941668231,0.015822080160948705,bruteforce,1
1.7089839962417075,0.7728492188749794,38,24.69823420916438,default,4,12,21,E,0,0.06810541751607926,0.07218662354957858,0.039771131291036335,normal,0
0.05265649934956937,0.28180877387554054,167,28.09685738518822,datacenter,5,6,24,E,0,0.4709919506329377,0.0,0.18095776335903904,flood,1
