inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,failed_auth_count,token_reuse_ratio,status_4xx_ratio,status_5xx_ratio
1.2913412304535836,0.4191285007518074,25,17.271996625860528,datacenter,4,3,12,E,0,0.3840133081934623,0.098149039365068,0.0635468108961042
0.1204833236750144,0.2452718033020007,143,9.930345719773792,default,5,7,1,E,2,0.4393837324905922,0.1056459553337983,0.0959318822710998
0.725714776985243,0.4206547916495724,127,11.328666139407758,datacenter,3,4,13,F,12,0.4626162551634519,0.3301860180169646,0.0605480869869481
0.1,0.6722840417430757,7,28.97313617978177,default,3,7,14,F,0,0.1615039075418119,0.0187937096503888,0.043847798093583
0.01,0.5054951331983651,60,36.41022277591311,default,7,7,1,E,14,0.6081477957061582,0.2652102887277254,0.0
0.1182777568934518,0.1444025929106646,204,8.810006314436283,default,1,5,17,E,0,0.2939718170887687,0.2874180768411535,0.1179707537605755
1.080269566973304,0.3803101573805265,30,7.078125574263991,default,10,4,6,E,0,0.2049462408369255,0.0571886392737522,0.0522021483430851
0.1551083211382764,0.6382046434308202,126,18.45294542706933,datacenter,1,2,3,F,4,0.4789994731170676,0.1692038640786131,0.0
0.1,0.4403757164642988,67,22.328976479526325,default,3,4,15,E,1,0.3272817478133362,0.0901853119477404,0.0070873865761232
0.5996482963135958,0.6670670624363757,95,8.225222696306162,datacenter,4,1,22,E,10,0.6299329377454523,0.3289607395909703,0.0
0.617512301037788,0.2269568281222766,54,30.372609327869363,datacenter,5,5,16,E,7,0.4878621739881171,0.5126433208907513,0.032708005868719
1.0147011004617563,0.4703242077852783,81,16.732895190965067,default,4,5,11,F,0,0.9450216890455092,0.2346716428866711,0.1103146154852282
2.3355463921203814,0.4913292184920384,32,5.618586197000123,default,8,3,8,E,0,0.1178281743084317,0.1335029881952608,0.0149120764621149
1.4112684786849337,0.1707431529013244,49,11.7810570449755,default,2,8,14,E,0,0.2588332248968436,0.0219077563483275,0.0433471896978287
2.034118731156977,0.072402162914636,33,27.09172935030942,datacenter,4,8,19,F,0,0.3307737492211415,0.0,0.0523685533485261
2.5649589240332977,0.6796163451867623,33,15.061175759810157,default,2,4,8,F,1,0.0486750321381893,0.0888842449880825,0.0691415215278248
0.5309231176343844,0.7742337305147267,65,11.438468521177146,default,9,2,4,F,2,0.955468375138064,0.1456835035000788,0.0781053418285405
3.521789146140015,0.4213963799823088,29,21.743824837718044,datacenter,3,11,22,E,0,0.0909902228934689,0.0,0.0709717476416202
4.43767970518255,0.7165323403680955,40,19.406434920617656,datacenter,5,11,15,E,1,0.1553888060245311,0.0,0.0
1.9877291211147268,1.0,26,9.495879421426666,default,1,3,19,E,0,0.0636943040069966,0.0936452308196327,0.0725138444143281
